event_time,event_type,event_name,action_name,user,request_params,resource_name,source_ip
2026-01-26T23:04:21,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.sales.table_018""}",dev.sales.table_018,10.63.106.248
2026-01-26T23:12:20,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.sales.table_022""}",dev.sales.table_022,10.92.2.143
2026-01-26T23:54:38,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.ops.table_001""}",main.ops.table_001,10.65.105.168
2026-01-26T23:05:59,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""prod.hr.table_027""}",prod.hr.table_027,10.17.43.251
2026-01-26T23:34:33,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.finance.table_017""}",main.finance.table_017,10.87.216.251
2026-01-26T23:16:57,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.ops.table_016""}",dev.ops.table_016,10.150.227.36
2026-01-26T23:47:27,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.sales.table_029""}",main.sales.table_029,10.180.107.177
2026-01-26T23:45:14,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.sales.table_007""}",main.sales.table_007,10.18.96.37
2026-01-26T23:58:26,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""prod.hr.table_004""}",prod.hr.table_004,10.110.183.72
2026-01-26T23:49:46,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.finance.table_002""}",main.finance.table_002,10.130.133.98
2026-01-26T23:27:18,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.finance.table_008""}",main.finance.table_008,10.217.73.138
2026-01-26T23:04:49,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.finance.table_008""}",main.finance.table_008,10.98.190.145
2026-01-26T23:28:39,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.hr.table_010""}",main.hr.table_010,10.222.194.7
2026-01-26T23:05:17,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.finance.table_017""}",main.finance.table_017,10.56.208.17
2026-01-26T23:43:42,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.sales.table_029""}",main.sales.table_029,10.170.139.38
2026-01-26T23:18:40,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.finance.table_012""}",dev.finance.table_012,10.113.193.244
2026-01-26T23:53:26,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.hr.table_005""}",main.hr.table_005,10.156.250.25
2026-01-26T23:47:49,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""prod.hr.table_009""}",prod.hr.table_009,10.138.50.230
2026-01-26T23:11:39,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""prod.sales.table_024""}",prod.sales.table_024,10.199.92.89
2026-01-26T23:32:33,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.finance.table_008""}",main.finance.table_008,10.4.79.169
2026-01-26T23:09:44,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""prod.ml.table_023""}",prod.ml.table_023,10.136.27.236
2026-01-26T23:48:17,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.hr.table_021""}",dev.hr.table_021,10.214.234.47
2026-01-26T23:24:09,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.ops.table_016""}",dev.ops.table_016,10.146.141.244
2026-01-26T23:35:32,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.hr.table_028""}",dev.hr.table_028,10.117.156.163
2026-01-26T23:20:51,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.hr.table_010""}",main.hr.table_010,10.46.40.20
2026-01-26T23:06:23,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.ops.table_001""}",main.ops.table_001,10.43.146.142
2026-01-26T23:55:10,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.hr.table_013""}",dev.hr.table_013,10.69.245.128
2026-01-26T23:27:40,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.sales.table_006""}",dev.sales.table_006,10.3.217.180
2026-01-26T23:16:40,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""dev.hr.table_021""}",dev.hr.table_021,10.21.229.247
2026-01-26T23:46:02,access,table_access,commandSubmit,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""prod.sales.table_024""}",prod.sales.table_024,10.115.89.20
2026-01-26T23:57:18,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.hr.table_011""}",main.hr.table_011,10.26.216.127
2026-01-26T23:11:38,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""main.sales.table_003""}",main.sales.table_003,10.173.127.213
2026-01-26T23:19:48,access,table_access,getTable,"{""email"": ""user00@example.com"", ""name"": ""User00""}","{""full_name_arg"": ""prod.hr.table_009""}",prod.hr.table_009,10.135.109.1
