event_id,event_time,action_name,user,request_params,resource_name,source_ip
evt_00000001,2026-02-18T19:50:29,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_000""}",main.hr.table_000,10.225.110.66
evt_00000002,2026-02-18T20:59:09,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_004""}",main.sales.table_004,10.56.154.112
evt_00000003,2026-02-18T21:00:17,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_025""}",main.sales.table_025,10.100.149.229
evt_00000004,2026-02-18T23:31:30,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_027""}",main.sales.table_027,10.3.146.234
evt_00000005,2026-02-18T21:33:38,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_014""}",main.hr.table_014,10.70.191.30
evt_00000006,2026-02-18T20:47:39,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_014""}",main.hr.table_014,10.12.104.59
evt_00000007,2026-02-18T18:06:23,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.ops.table_017""}",dev.ops.table_017,10.73.124.50
evt_00000008,2026-02-18T23:44:02,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_004""}",main.sales.table_004,10.28.138.82
evt_00000009,2026-02-18T17:48:59,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_015""}",prod.finance.table_015,10.204.227.4
evt_00000010,2026-02-18T22:13:27,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.ml.table_007""}",prod.ml.table_007,10.71.218.52
evt_00000011,2026-02-18T16:07:42,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_004""}",main.sales.table_004,10.77.13.211
evt_00000012,2026-02-18T16:49:09,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.finance.table_009""}",main.finance.table_009,10.137.64.100
evt_00000013,2026-02-18T20:52:47,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.ops.table_017""}",dev.ops.table_017,10.104.104.193
evt_00000014,2026-02-18T19:28:52,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.ops.table_021""}",main.ops.table_021,10.195.11.243
evt_00000015,2026-02-18T18:47:11,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.hr.table_012""}",dev.hr.table_012,10.255.43.179
evt_00000016,2026-02-18T19:26:01,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.ml.table_010""}",prod.ml.table_010,10.129.146.229
evt_00000017,2026-02-18T22:59:50,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_004""}",main.sales.table_004,10.12.189.235
evt_00000018,2026-02-18T22:19:06,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.sales.table_026""}",prod.sales.table_026,10.26.58.222
evt_00000019,2026-02-18T19:09:56,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_011""}",prod.finance.table_011,10.47.110.96
evt_00000020,2026-02-18T16:56:18,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.ops.table_028""}",main.ops.table_028,10.0.39.28
evt_00000021,2026-02-18T21:19:55,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_015""}",prod.finance.table_015,10.176.30.139
evt_00000022,2026-02-18T16:14:47,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_023""}",prod.finance.table_023,10.18.146.66
evt_00000023,2026-02-18T17:04:10,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_008""}",main.hr.table_008,10.123.32.90
evt_00000024,2026-02-18T22:26:16,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.ml.table_010""}",prod.ml.table_010,10.38.109.214
evt_00000025,2026-02-18T21:13:02,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.finance.table_020""}",main.finance.table_020,10.52.140.132
evt_00000026,2026-02-18T19:32:35,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.ml.table_010""}",prod.ml.table_010,10.180.25.51
evt_00000027,2026-02-18T16:42:37,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.ops.table_003""}",dev.ops.table_003,10.206.162.98
evt_00000028,2026-02-18T20:30:32,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.sales.table_026""}",prod.sales.table_026,10.230.134.10
evt_00000029,2026-02-18T17:41:31,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.ops.table_028""}",main.ops.table_028,10.236.52.104
evt_00000030,2026-02-18T19:33:01,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.ml.table_013""}",prod.ml.table_013,10.47.54.94
evt_00000031,2026-02-18T22:28:57,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.ops.table_016""}",prod.ops.table_016,10.216.57.22
evt_00000032,2026-02-18T23:56:25,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_014""}",main.hr.table_014,10.182.103.170
evt_00000033,2026-02-18T19:10:54,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_015""}",prod.finance.table_015,10.21.164.222
evt_00000034,2026-02-18T16:22:43,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.ops.table_017""}",dev.ops.table_017,10.106.191.49
evt_00000035,2026-02-18T20:24:20,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_002""}",main.sales.table_002,10.178.216.84
evt_00000036,2026-02-18T23:48:10,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_011""}",prod.finance.table_011,10.126.186.244
evt_00000037,2026-02-18T19:16:53,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.hr.table_018""}",dev.hr.table_018,10.83.144.41
evt_00000038,2026-02-18T22:27:19,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.ops.table_003""}",dev.ops.table_003,10.239.246.86
evt_00000039,2026-02-18T16:04:32,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.ops.table_017""}",dev.ops.table_017,10.137.217.110
evt_00000040,2026-02-18T23:41:17,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_000""}",main.hr.table_000,10.103.3.39
evt_00000041,2026-02-18T21:13:57,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.sales.table_026""}",prod.sales.table_026,10.236.91.123
evt_00000042,2026-02-18T22:29:21,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_025""}",main.sales.table_025,10.113.130.82
evt_00000043,2026-02-18T17:43:33,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_023""}",prod.finance.table_023,10.31.84.82
evt_00000044,2026-02-18T18:59:43,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.finance.table_009""}",main.finance.table_009,10.218.54.248
evt_00000045,2026-02-18T19:00:18,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_014""}",main.hr.table_014,10.97.3.138
evt_00000046,2026-02-18T23:08:32,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.sales.table_026""}",prod.sales.table_026,10.4.233.196
evt_00000047,2026-02-18T19:37:55,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_027""}",main.sales.table_027,10.85.247.204
evt_00000048,2026-02-18T23:32:01,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_023""}",prod.finance.table_023,10.59.61.225
evt_00000049,2026-02-18T20:09:34,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_022""}",main.hr.table_022,10.246.199.51
evt_00000050,2026-02-18T16:53:15,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_000""}",main.hr.table_000,10.226.42.38
evt_00000051,2026-02-18T17:03:16,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_022""}",main.hr.table_022,10.142.72.50
evt_00000052,2026-02-18T20:46:05,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.sales.table_006""}",main.sales.table_006,10.26.178.190
evt_00000053,2026-02-18T23:57:56,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.ops.table_021""}",main.ops.table_021,10.228.240.25
evt_00000054,2026-02-18T22:08:12,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.hr.table_018""}",dev.hr.table_018,10.243.55.97
evt_00000055,2026-02-18T21:48:27,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""prod.finance.table_011""}",prod.finance.table_011,10.204.206.198
evt_00000056,2026-02-18T23:27:45,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.sales.table_019""}",dev.sales.table_019,10.193.120.50
evt_00000057,2026-02-18T20:53:10,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_000""}",main.hr.table_000,10.187.77.42
evt_00000058,2026-02-18T20:09:26,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.hr.table_012""}",dev.hr.table_012,10.186.100.200
evt_00000059,2026-02-19T19:13:40,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.hr.table_005""}",main.hr.table_005,10.65.45.149
evt_00000060,2026-02-19T02:51:53,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.sales.table_019""}",dev.sales.table_019,10.6.234.6
evt_00000061,2026-02-19T11:47:19,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.ops.table_021""}",main.ops.table_021,10.124.215.13
evt_00000062,2026-02-19T03:22:50,getTable,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""main.finance.table_020""}",main.finance.table_020,10.58.42.233
evt_00000063,2026-02-19T10:02:32,commandSubmit,"{""email"": ""user000@example.com"", ""name"": ""佐藤 美咲""}","{""full_name_arg"": ""dev.ops.table_003""}",dev.ops.table_003,10.22.35.102
