record_id,usage_start_time,usage_end_time,usage_quantity,sku,workspace_id,identity_metadata
rec_00000001,2026-02-18T16:00:00,2026-02-18T17:00:00,0.0952,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000002,2026-02-18T17:00:00,2026-02-18T18:00:00,0.0,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000003,2026-02-18T18:00:00,2026-02-18T19:00:00,0.3742,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000004,2026-02-18T19:00:00,2026-02-18T20:00:00,0.1891,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000005,2026-02-18T20:00:00,2026-02-18T21:00:00,0.323,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000006,2026-02-18T21:00:00,2026-02-18T22:00:00,0.0388,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000007,2026-02-18T22:00:00,2026-02-18T23:00:00,0.1694,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000008,2026-02-18T23:00:00,2026-02-19T00:00:00,0.0,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000009,2026-02-19T00:00:00,2026-02-19T01:00:00,0.8642,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000010,2026-02-19T01:00:00,2026-02-19T02:00:00,0.0761,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000011,2026-02-19T02:00:00,2026-02-19T03:00:00,0.8577,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000012,2026-02-19T03:00:00,2026-02-19T04:00:00,0.0,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000013,2026-02-19T04:00:00,2026-02-19T05:00:00,0.3997,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
rec_00000014,2026-02-19T05:00:00,2026-02-19T06:00:00,0.3705,ALL_PURPOSE,101001,"{""run_as"": {""email"": ""user000@example.com""}, ""actor_type"": ""user""}"
